Interval Start Date/Time,Net Consumption (kWh),Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C)
,,,,,
2021-02-09 00:00,27.28,-9,-18.4,-13.7,31.7
2021-02-10 00:00,43.36,-10.6,-19,-14.8,32.8
2021-02-11 00:00,50.61,-12.2,-20.1,-16.1,34.1
2021-02-12 00:00,48.51,-11.5,-19,-15.3,33.3
2021-02-13 00:00,37.64,-8.5,-14.5,-11.5,29.5
2021-02-14 00:00,24.75,-1,-14.2,-7.6,25.6
2021-02-15 00:00,22.45,-1.1,-6.4,-3.8,21.8
2021-02-16 00:00,20.41,1.1,-6.4,-2.7,20.7
2021-02-17 00:00,19.39,4.6,-5.2,-0.3,18.3
2021-02-18 00:00,24.12,-1.2,-7,-4.1,22.1
2021-02-19 00:00,20.42,2.2,-7.3,-2.5,20.5
2021-02-20 00:00,15.86,4.1,-6.2,-1,19
2021-02-21 00:00,14.71,13.2,2.8,8,10
2021-02-22 00:00,11.49,12.9,0.2,6.6,11.4
2021-02-23 00:00,13.26,6.1,-2.6,1.7,16.3
2021-02-24 00:00,16.31,7,-2.2,2.4,15.6
2021-02-25 00:00,13.13,7.3,2.2,4.8,13.2
2021-02-26 00:00,16.77,7.2,-0.3,3.5,14.5
2021-02-27 00:00,12.4,7.4,-0.9,3.3,14.7
2021-02-28 00:00,16.51,4.5,0,2.2,15.8
2021-03-01 00:00,10.92,15.9,1.8,8.9,9.1
2021-03-02 00:00,10.7,9.3,-1.2,4,14
2021-03-03 00:00,12.4,6.3,0.3,3.3,14.7
2021-03-04 00:00,12.25,14,-1.3,6.3,11.7
2021-03-05 00:00,8.93,16.3,4.2,10.2,7.8
2021-03-06 00:00,12.19,12.5,1.1,6.8,11.2
2021-03-07 00:00,11.3,12.1,1.9,7,11
2021-03-08 00:00,14.25,10.3,-3.7,3.3,14.7
2021-03-09 00:00,17.86,8.2,-5.3,1.4,16.6
2021-03-10 00:00,12.56,7.9,-4,1.9,16.1
2021-03-11 00:00,16.2,8,-7.5,0.3,17.7
2021-03-12 00:00,13.84,14.4,2.4,8.4,9.6
2021-03-13 00:00,12.2,11.5,0.4,6,12
2021-03-14 00:00,13.27,14.5,3.3,8.9,9.1
2021-03-15 00:00,12.58,9.4,0.1,4.8,13.2
2021-03-16 00:00,14.57,11.5,-5.6,3,15
2021-03-17 00:00,12.99,12,-3.7,4.2,13.8
2021-03-18 00:00,11.79,18.6,0.8,9.7,8.3
2021-03-19 00:00,16.67,15.2,2.2,8.7,9.3
2021-03-20 00:00,10.43,14,3.8,8.9,9.1
2021-03-21 00:00,12.09,9.2,1.8,5.5,12.5
2021-03-22 00:00,14.52,12,-0.2,5.9,12.1
2021-03-23 00:00,10.9,10.4,-3.4,3.5,14.5
2021-03-24 00:00,9.99,12.6,4.8,8.7,9.3
2021-03-25 00:00,11.36,12.6,2.3,7.5,10.5
2021-03-26 00:00,14.02,9.3,-1.8,3.7,14.3
2021-03-27 00:00,9.02,15,1.9,8.5,9.5
2021-03-28 00:00,10.46,14.9,1,7.9,10.1
2021-03-29 00:00,10.05,7.1,-0.8,3.2,14.8
2021-03-30 00:00,14.36,11.7,-4,3.8,14.2
2021-03-31 00:00,11.75,15.1,-1.3,6.9,11.1
2021-04-01 00:00,10.3,18.5,7.7,13.1,4.9
2021-04-02 00:00,12.45,15,1,8,10
2021-04-03 00:00,11.81,17.7,-0.1,8.8,9.2
2021-04-04 00:00,13.88,10.7,2,6.4,11.6
2021-04-05 00:00,11.87,16.4,-4,6.2,11.8
2021-04-06 00:00,10.77,14.4,-1.5,6.5,11.5
2021-04-07 00:00,10.59,14.8,2.9,8.9,9.1
2021-04-08 00:00,11.65,11.5,0.2,5.8,12.2
2021-04-09 00:00,14.5,12.5,4,8.3,9.7
2021-04-10 00:00,10.72,9.7,0.7,5.2,12.8
2021-04-11 00:00,11.2,12.5,-1.8,5.3,12.7
2021-04-12 00:00,11.59,13.9,0.8,7.4,10.6
2021-04-13 00:00,14.73,16.5,-3.5,6.5,11.5
2021-04-14 00:00,8.56,21,-2.9,9.1,8.9
2021-04-15 00:00,9.11,23.9,0.5,12.2,5.8
2021-04-16 00:00,7.51,25.4,1.8,13.6,4.4
2021-04-17 00:00,8.35,26.6,3.2,14.9,3.1
2021-04-18 00:00,8.1,22.3,5.2,13.8,4.2
2021-04-19 00:00,11.93,18.4,0.4,9.4,8.6
2021-04-20 00:00,10.6,21.3,0.4,10.8,7.2
2021-04-21 00:00,11.19,21.6,1.9,11.8,6.2
2021-04-22 00:00,9.31,16,6.1,11,7
2021-04-23 00:00,9.02,17.5,0.4,8.9,9.1
2021-04-24 00:00,9.51,17.1,6.6,11.9,6.1
2021-04-25 00:00,7.85,16.9,7.5,12.2,5.8
2021-04-26 00:00,8.97,20.4,0.1,10.3,7.7
2021-04-27 00:00,8.45,18.1,2.8,10.5,7.5
2021-04-28 00:00,9.52,20.8,5.4,13.1,4.9
2021-04-29 00:00,8.59,18.4,10,14.2,3.8
2021-04-30 00:00,11.73,23.4,10.5,17,1
2021-05-01 00:00,9.14,17.1,4.3,10.7,7.3
2021-05-02 00:00,8.7,20.3,3.1,11.7,6.3
2021-05-03 00:00,9.6,17.3,2.9,10.1,7.9
2021-05-04 00:00,8.75,19.8,3.7,11.8,6.2
2021-05-05 00:00,8.53,21.2,2.1,11.7,6.3
2021-05-06 00:00,8.2,20.8,10.7,15.8,2.2
2021-05-07 00:00,10.74,14.7,5.5,10.1,7.9
2021-05-08 00:00,8.86,17.5,3.4,10.4,7.6
2021-05-09 00:00,7.5,19.5,6.7,13.1,4.9
2021-05-10 00:00,8.52,18.4,5.8,12.1,5.9
2021-05-11 00:00,8.05,22.1,2.5,12.3,5.7
2021-05-12 00:00,9.26,15.6,10,12.8,5.2
2021-05-13 00:00,9.73,23.8,9.5,16.6,1.4
2021-05-14 00:00,8.6,26.1,8.5,17.3,0.7
2021-05-15 00:00,11.49,28.1,7.5,17.8,0.2
2021-05-16 00:00,9.68,30.9,10.5,20.7,0
2021-05-17 00:00,7.89,21.2,14.4,17.8,0.2
2021-05-18 00:00,8.8,15.4,6,10.7,7.3
2021-05-19 00:00,8.87,14.2,2.3,8.2,9.8
2021-05-20 00:00,10.45,19.4,2.5,10.9,7.1
2021-05-21 00:00,11.63,23.2,4.6,13.9,4.1
2021-05-22 00:00,9.58,26.2,3.9,15,3
2021-05-23 00:00,10.59,27.9,10.6,19.3,0
2021-05-24 00:00,13.25,24.7,14.6,19.6,0
2021-05-25 00:00,10.92,23,11.9,17.4,0.6
2021-05-26 00:00,8.58,22.7,7,14.8,3.2
2021-05-27 00:00,8.64,21.7,12.8,17.3,0.7
2021-05-28 00:00,8.28,20.5,9.5,15,3
